Rank,Rating,Artist,Number of Songs,Number of Songs Disliked,Number of Songs Unheard,Number of Songs Undecided,Number of Songs Loved,Songs In Queue,Total Songs Reviewed,Remaining Importance,Unheard Importance,Inflation Factor,Lowest Possible Rating,Highest Possible Rating,Lowest Queue Rating,Highest Queue Rating,Highest Possible Ranking,Lowest Possible Ranking,Highest Queue Ranking,Lowest Queue Ranking,Highest Immediate Ranking,Lowest Immediate Ranking,Possible Rankings,Possible Queue Rankings,Possible Immediate Rankings,Range,Queue Range,League,Test Rating
1,238.23,Taylor Swift,245,18,0,0,10,0.0,263,0,0,0.0,238.23,238.23,238.23,238.23,1,1,1,1,1,1,1,1,1,0.0,0.0,Premier League,196.43
2,221.11,Passenger,218,5,0,0,8,0.0,223,0,0,0.0,221.11,221.11,221.11,221.11,2,2,2,2,2,2,1,1,1,0.0,0.0,Premier League,243.79
3,151.31,OneRepublic,137,19,0,1,31,1.0,156,151,0,0.01,150.55,152.3,150.55,152.3,3,9,3,4,3,4,7,2,2,1.75,1.75,Premier League,300.0
4,142.06,Coldplay,180,53,0,23,3,23.0,233,3267,0,0.1,129.56,163.97,129.56,163.97,3,13,3,6,3,5,11,4,3,34.41,34.41,Premier League,27.82
5,120.47,Joshua Radin,127,8,0,28,1,28.0,135,3373,0,0.21,99.95,148.39,99.95,148.39,4,42,4,22,4,13,39,19,10,48.44,48.44,Premier League,83.77
6,116.79,All Time Low,142,40,0,15,6,15.0,182,1751,0,0.08,108.36,131.12,108.36,131.12,4,33,4,16,5,10,30,13,6,22.76,22.76,Premier League,30.4
7,113.42,Yellowcard,130,19,0,9,0,9.0,149,1020,0,0.06,106.96,122.28,106.96,122.28,5,33,5,16,5,10,29,12,6,15.32,15.32,Premier League,44.33
8,109.16,Ed Sheeran,158,84,0,10,6,10.0,242,1091,0,0.04,105.06,118.0,105.06,118.0,5,34,5,17,6,11,30,13,6,12.94,12.94,Premier League,8.55
9,108.5,Lupe Fiasco,126,42,0,6,14,6.0,168,651,0,0.04,105.24,114.14,105.24,114.14,5,34,5,17,7,11,30,13,5,8.9,8.9,Premier League,38.74
10,106.16,The Fray,93,4,0,3,17,3.0,97,318,0,0.03,103.49,109.16,103.49,109.16,5,35,5,17,8,11,31,13,4,5.67,5.67,Premier League,264.22
11,101.35,MARINA,93,16,0,1,22,1.0,109,101,0,0.01,100.63,102.33,100.63,102.33,10,40,10,20,11,13,31,11,3,1.7,1.7,Premier League,183.21
12,100.89,James Blunt,102,10,0,12,8,12.0,112,1210,0,0.11,91.9,112.81,91.9,112.81,5,53,5,27,8,21,49,23,14,20.91,20.91,Premier League,93.59
13,99.44,Jasmine Thompson,104,13,0,1,7,1.0,117,99,0,0.01,98.66,100.43,98.66,100.43,11,43,11,22,13,14,33,12,2,1.77,1.77,Premier League,73.05
14,97.49,Drake,162,110,0,20,1,20.0,272,1949,0,0.07,90.88,114.44,90.88,114.44,5,53,5,27,7,21,49,23,15,23.56,23.56,Premier League,2.95
15,97.39,The 1975,109,13,0,0,0,0.0,122,0,0,0.0,97.39,97.39,97.39,97.39,13,47,13,24,15,15,35,12,1,0.0,0.0,Premier League,44.82
16,94.6,Mumford & Sons,99,8,0,8,3,8.0,107,756,0,0.07,88.23,102.56,88.23,102.56,10,59,10,29,11,21,50,20,11,14.33,14.33,Premier League,69.16
17,93.63,Ben Rector,105,18,0,10,4,10.0,123,936,0,0.08,86.89,103.44,86.89,103.44,10,60,10,29,11,22,51,20,12,16.55,16.55,Premier League,42.54
18,93.26,Lifehouse,91,5,0,7,7,7.0,96,652,0,0.07,87.4,100.24,87.4,100.24,11,60,11,29,13,22,50,19,10,12.84,12.84,Premier League,110.43
19,93.17,Twenty One Pilots,89,4,0,2,8,2.0,93,186,0,0.02,91.38,95.17,91.38,95.17,14,53,14,27,16,21,40,14,6,3.79,3.79,Premier League,127.73
20,92.2,Bastille,126,54,0,6,4,6.0,180,553,0,0.03,89.35,97.68,89.35,97.68,13,58,13,29,14,21,46,17,8,8.33,8.33,Premier League,10.73
21,87.5,Kendrick Lamar,134,76,0,26,2,26.0,210,2275,0,0.12,78.08,110.47,78.08,110.47,5,73,5,34,8,26,69,30,19,32.39,32.39,EFL Championship,4.65
22,86.0,The Script,75,0,0,4,11,4.0,75,344,0,0.05,82.2,90.0,82.2,90.0,17,69,17,31,21,23,53,15,3,7.8,7.8,EFL Championship,220.72
23,82.02,Kodaline,88,10,0,24,3,24.0,98,1968,0,0.24,66.48,105.82,66.48,105.82,7,94,7,46,11,30,88,40,20,39.34,39.34,EFL Championship,50.52
24,82.0,Halsey,108,36,0,9,1,9.0,144,738,0,0.06,77.24,90.47,77.24,90.47,17,74,17,35,21,26,58,19,6,13.23,13.23,EFL Championship,12.3
25,79.24,Logic,108,45,1,45,3,44.0,153,3565,79,0.29,61.91,121.23,62.21,120.28,5,100,5,48,5,33,96,44,29,59.32,58.07,EFL Championship,9.39
26,74.2,mxmtoon,77,4,0,5,1,5.0,81,371,0,0.06,69.94,79.19,69.94,79.19,22,85,22,40,26,29,64,19,4,9.25,9.25,EFL Championship,57.48
27,74.01,Young the Giant,70,1,0,0,5,0.0,71,0,0,0.0,74.01,74.01,74.01,74.01,24,79,24,38,27,27,56,15,1,0.0,0.0,EFL Championship,108.67
28,71.2,Phoebe Bridgers,75,4,0,5,0,5.0,79,356,0,0.06,66.96,76.19,66.96,76.19,24,94,24,46,26,30,71,23,5,9.23,9.23,EFL Championship,49.78
