Songs I Love	Artists	URI
Superheroes	The Script	Superheroes	spotify:track:5ml7wqgv2ZZ5JJ6U8ZLon9
River Flows In You - Original	Yiruma	First Love (Yiruma Piano Collection)	spotify:track:47ZWr1Nb0PUgmKgyg5JkgO
Counting Stars	OneRepublic	Native	spotify:track:6sy3LkhNFjJWlaeSMNwQ62
I Just Wanna Run	The Downtown Fiction	Best I Never Had	spotify:track:2S4CfxZG29GZWwDeMtBq2R
Jar of Hearts	Christina Perri	lovestrong.	spotify:track:0HZhYMZOcUzZKSFwPOti6m
Shining Down (feat. Matthew Santos)	Lupe Fiasco, Matthew Santos	Shining Down	spotify:track:0hkRONsyMGzkhJGc56L5v0
Go Go Gadget Flow	Lupe Fiasco	Lupe Fiasco's The Cool	spotify:track:2aLVUQS8wipdinBxqm5YBE
If I Lose Myself	OneRepublic	Native	spotify:track:7hIRQZhDjab4YgqkkkehV9
Airplanes, Pt. II (feat. Eminem & Hayley Williams of Paramore)	B.o.B, Eminem, Hayley Williams	B.o.B Presents: The Adventures of Bobby Ray	spotify:track:4zlS6uTUQFankHs3wpTEM1
Holiday / Boulevard of Broken Dreams	Green Day	American Idiot	spotify:track:0MsrWnxQZxPAcov7c74sSo
Never Let You Go (feat. Ryan Tedder)	B.o.B, Ryan Tedder	Strange Clouds	spotify:track:2MGHQ63oFXoBLuUmOABBWX
What Goes Around.../...Comes Around (Interlude)	Justin Timberlake	FutureSex/LoveSounds Deluxe Edition	spotify:track:4ZrEjG3Vef85NTve8ptC9Q
Apologize	OneRepublic	Dreaming Out Loud	spotify:track:1NrJYpdAi7uosDRPmSYrsG
Beautiful Lasers (2 Ways) [feat. MDMA]	Lupe Fiasco, MDMA	Lasers	spotify:track:4S93LxVPsmbcI3jJTEWkGw
Marchin On	OneRepublic	Waking Up	spotify:track:4BUtvtGTRvJB49Hx2F7lle
be my forever (feat. Ed Sheeran)	Christina Perri, Ed Sheeran	head or heart	spotify:track:7wlUU1sJ9Md89P1xgLyUGV
