Other Songs I Know	Artists	ID	ExCol
L.A.LOVE (la la)	Fergie	L.A.LOVE (la la)	spotify:track:4RZMYKoQiDH27kh6UoIrI2
Beg For It	Iggy Azalea, MØ	Beg For It	spotify:track:0ODGQ6GNIkHxK6m0345xjs
No Mediocre (feat. Iggy Azalea)	T.I., Iggy Azalea	No Mediocre (feat. Iggy Azalea)	spotify:track:38aECKrbMv2F5FsYYCewCQ
Baby Don't Lie	Gwen Stefani	Baby Don't Lie	spotify:track:5t54WbqXtMwT5yF1nQSuKz
Black Widow	Iggy Azalea, Rita Ora	The New Classic	spotify:track:7pNC5ZIKtwUK0ReSpM3P9f
This Is How We Do	Katy Perry	PRISM	spotify:track:7GCElX2eJA5t0AFWw3WzKn
Wait On Me	Rixton	Wait On Me	spotify:track:4iCZGWz2wdxjXUWAu3fTgq
Really Don't Care	Demi Lovato, Cher Lloyd	Demi	spotify:track:5vTPxzm4h2bY9rYyVrGEU5
Anaconda	Nicki Minaj	Anaconda	spotify:track:5a5so8nqDGq75MI5WMbBtT
All About That Bass	Meghan Trainor	All About That Bass	spotify:track:0ifSeVGUr7py5GggttDhXw
Talk Dirty (feat. 2 Chainz)	Jason Derulo, 2 Chainz	Tattoos EP	spotify:track:6nCdW7lwO9AlPOepk689AF
Best Day Of My Life	American Authors	Best Day Of My Life	spotify:track:5k31cAfP8yymw8v0AYQIjr
Whistle	Flo Rida	Wild Ones	spotify:track:3bC1ahPIYt1btJzSSEyyrF
Good Feeling	Flo Rida	Wild Ones	spotify:track:2LEF1A8DOZ9wRYikWgVlZ8
How I Feel	Flo Rida	How I Feel	spotify:track:3et1SjQkOhOSUl9vzfDzlx
Club Can't Handle Me (feat. David Guetta)	Flo Rida, David Guetta	Only One Flo (Part 1)	spotify:track:6ebkx7Q5tTxrCxKq4GYj0Y
Dog Days Are Over	Florence + The Machine	Lungs (Deluxe Edition)	spotify:track:1YLJVmuzeM2YSUkCCaTNUB
Shake It Out	Florence + The Machine	Ceremonials (Deluxe Edition)	spotify:track:4lY95OMGb9WxP6IYut64ir
We Made You	Eminem	Relapse	spotify:track:4tUTnCBft9qif7mlm51zFK
Crack A Bottle	Eminem, Dr. Dre, 50 Cent	Relapse	spotify:track:360TPORPNBas8DeQueJe67
Just Lose It	Eminem	Encore (Deluxe Version)	spotify:track:0qcjuYtMWhBjXg0Xwt5SzS
Without Me	Eminem	The Eminem Show	spotify:track:7lQ8MOhq6IN2w8EYcFNSUk
My Name Is	Eminem	The Slim Shady LP (Explicit)	spotify:track:66LCa77E7ux7S6oT0YfRBn
