Maybe Songs	Artists	ID	ExCol
Go Go Go	Panic Is Perfect	Behind Your Eyelids	spotify:track:4l1ppM16qNSOUEiVMZpKke
Black & White	The Staves	Black & White	spotify:track:43cLjLv9o2XnMpDaprdJji
My Baby Don't Understand Me	Natalie Prass	Natalie Prass	spotify:track:1pywDdk4Vd7uJ50LQRJCCx
Without You	Tobias Jesso Jr.	Without You	spotify:track:74Y4S031TBjW4LrMCB13BL
Where Did You Go	kp	Where Did You Go	spotify:track:5ZuHYchG7wzd94JwJdRTSi
Thinkin of U	Summer Heart	Thinkin of U	spotify:track:7zeBsVumxVMNk9NQIlUdiW
Sick for Me (feat. Bear Hands)	Big Data, Bear Hands	2.0	spotify:track:7jVFODQGxTvxMoVXL1I9NK
Comfortable Lie	Why We Run	Comfortable Lie	spotify:track:0bsrHctTZrZ1jTKNiuyKgA
Let You Go - Radio Edit	The Chainsmokers, Great Good Fine Ok	Let You Go (Radio Edit)	spotify:track:2Mh0jU5IyRTQfpyMnvki5Z
It's Alright	Kid Astray	It's Alright	spotify:track:6K7d7HAteKeZIepI8bZFrr
My Angel	Prince Royce	My Angel	spotify:track:4yIYUPqBGy7imJussAOoYz
That's Love	Oddisee	That's Love - Single	spotify:track:2IqrKwsE7D3ETjyhsaKbZI
No Trouble	The Weepies	No Trouble	spotify:track:5UvLLv5D5AuPvZlXaO1S0b
Sparks	The Dø	Shake, Shook, Shaken	spotify:track:26PFl0Nl7KCCNlVy4sjq04
Hide	Little May	Little May	spotify:track:3giMvVYDITrYZ2UIyU1r84
Something Good	Dead Sara	Pleasure to Meet You	spotify:track:5x8Ny9byzqzaT5aVpFpnt7
One Last Night - From The" Fifty Shades Of Grey" Soundtrack	Vaults	One Last Night (From The" Fifty Shades Of Grey" Soundtrack)	spotify:track:0i0gvaWBgGbizetjcUvEMR
Darlings	Susanne Sundfør	Ten Love Songs	spotify:track:0WKvDtK0uHvoaxYgy0O75v
Future People	Alabama Shakes	Future People	spotify:track:6p5LBZkLRIeVhbLh0w7EuP
Wild Honey	Van Morrison, Joss Stone	Duets: Re-Working The Catalogue	spotify:track:1QJ2P53nuTSjKxa6SEmr7b
Break The Fall	Laura Welsh	Soft Control	spotify:track:2nO4l1ZNWFrIyyVFehIwaP
Creepers (Young Love)	Jessie Baylin	Creepers (Young Love)	spotify:track:2QyWfQ9mTN7DRThZRWhmdH
Shatter You Through	Daughn Gibson	Shatter You Through	spotify:track:4jPzPAsFRAmnDhaE6zRWr3
Vamala	CHAMPS	Vamala	spotify:track:76KR6XoydBtDrNx87WtyyO
Sucker's Shangri-La	Lower Dens	Escape From Evil	spotify:track:4UOY3rfKce1S2N2DJBGDyF
Co-Pilot	JAMESDAVIS	Co-Pilot	spotify:track:3GXkKjp89rXBv5OdKqel0S
Monterey	The Milk Carton Kids	Monterey	spotify:track:73jeXbUDhYRMDehGpnbMGS
Chrissie Hynde	Butch Walker	Afraid of Ghosts	spotify:track:2Tl9lAYOV90HbIwRgDjsjK
Trustful Hands	The Dø	Trustful Hands	spotify:track:5Pcy3AfI8ClQgtyZ6VoNb6
Spring (Among The Living)	My Morning Jacket	Spring (Among The Living)	spotify:track:2fxmW5vXk87sH2QW4Rqeia
'Cause I'm A Man	Tame Impala	'Cause I'm A Man	spotify:track:7Bsty8kmuETmsBC15k2orC
Breathe Me In	Laura Welsh	Breathe Me In	spotify:track:1d9wUpBdLDHNHnUjzgzRSb
Reconfiguration	Other Lives	Reconfiguration	spotify:track:3SqJsf3qaikWdqhAcrH0La
Slide Away	Teenage Wrist	Slide Away	spotify:track:4xPOYturIBtelsBS2W30qI
The Balance	Royal Tongues	Patterns and Shapes EP	spotify:track:3P6XPj1KtEdBUW4hJvGe95
Hypernight	Title Fight	Hyperview	spotify:track:4v4g64avkTabJ7WDqCCluP
Cut Me Loose	St. Tropez	St. Tropez	spotify:track:1vGoI3xc4HW0YbyzvoOwbI
Frozen Pines	Lord Huron	Frozen Pines	spotify:track:3WGGFwucBPa40UaKfoD99f
No Room in Frame	Death Cab for Cutie	No Room in Frame	spotify:track:6rsNOeNKdfJNXu44AFctBU
Live Forever	Matthew West	Live Forever	spotify:track:274u02YTKwgXvWMan7Pejx
In My Head	Betablock3r	In My Head	spotify:track:3LGzKci9PDKbMNWZ4mNB0C
Show Me Something Real	Turbo Fruits	No Control	spotify:track:0fmm3MDbTnZ0AryyUoHTlq
Empty Nesters	Toro y Moi	Empty Nesters	spotify:track:67f7UEOumMTP4jZWxxkLqQ
Garden	Wilsen	Garden	spotify:track:2YQdxGS9tPTajcvO2yRMuE
Dancing with Myself	The Knocks	Dancing with Myself	spotify:track:4WcrDusnN0VqHycP3YzSwz
Holy Dove	Civil Twilight	Holy Dove	spotify:track:4vRCzcAeVp0xzvaWvWLsV9
Jerk Ribs	Kelis	Food	spotify:track:2JHNPlLTrTkJehH6VeOCRu
Leaf Off / The Cave	José González	Leaf Off / The Cave	spotify:track:4GrOV18KKdZnc3jcfvMDgk
Where You At	The Bohicas	Where You At	spotify:track:1vYNohkIQYENpWmmbNhrlc
Roll Up Your Sleeves	Meg Mac	Roll Up Your Sleeves	spotify:track:3yiFxwFOYBcw6LTjlvpUuR
Crystallise (feat. Lawrence Hart)	George FitzGerald	Crystallise	spotify:track:5dKem36IbZph75spTuQf5m
Ice Black Sand	Reptar	Ice Black Sand	spotify:track:1odfqPE2pa39wdtdfP3Ccy
Elektra	Refused	Elektra	spotify:track:2fKhATsds6jLzVXJnqgwm8
Until the Night Turns	Lord Huron	Strange Trails	spotify:track:0yltmLAGo81C3f1xQuKiGa
Babe I'm Yours	Whilk & Misky	The First Sip	spotify:track:1CkItb41LTtSTb2rBYk7a8
Like A Wrecking Ball	Eric Church	The Outsiders	spotify:track:6hr4weuSidHy2LNMw8UVJ2
Teeth	The Japanese House	Teeth	spotify:track:0M8cW4CgVR8JftTqNluzZb
Gates of Dawn	Heartless Bastards	Gates Of Dawn	spotify:track:2kyp7owZxKc0ybX8qdPar7
Time	Rén with the Mane	Time	spotify:track:1b8A6q9Yfm7ixHQZAca62M
Grow	Odessa	Grow	spotify:track:0GvO7Z60uOyFw27NrBj7Y8
My Terracotta Heart	Blur	My Terracotta Heart	spotify:track:3S2DIAQbED8fK6FNPj1CC7
Long Way Down - Sean Glass Remix	Robert DeLong, Sean Glass	Long Way Down (Sean Glass Remix)	spotify:track:5XlGn3vvgLSHm8rKrsVKQv
Satellites	Mew	Satellites	spotify:track:591fbtF902YA7IvHgmwz5n
You Ruin Me	The Veronicas	The Veronicas	spotify:track:49W2j3DMkmmxPHL1pok4Bt
Indulge	JONES	Indulge	spotify:track:0bqFSM9aTtIc63Asteu1lL
I Know It's True	Ben Talmi	I Know It's True	spotify:track:7xMhQaADj1cUenO5Dyqscw
We Know	Fifth Harmony	Reflection (Deluxe)	spotify:track:4ay1nveMI5wWNTZPfdvy1w
Carry You Home	Zara Larsson	Uncover	spotify:track:3MK9jSYbg92Fct9UPD8I1v
Your Hologram	Mac McCaughan	Non-Believers	spotify:track:7kfgPEOKMQgT47DjU8fLbs
Burning Up	Hot Chip	Burning Up	spotify:track:3KLzF0R1ZsbS9kvK45FkGM
You Don't Know Me	Son Lux	You Don't Know Me	spotify:track:4Ymxgxuhf97mD4RVGDAs84
Places You Will Go	Patrick Watson	Places You Will Go	spotify:track:2sEzrlqzlV8Pv3924bTaoJ
Higher	Royal Tongues	Higher	spotify:track:6bKb6AHAead5hGKub5Sfdc
Love	James Canty	Love	spotify:track:2QOYcNytjXDcRn440sqQFx
Touch - Original Mix	PANG!	Touch	spotify:track:1LWgiHHnRSUnyhO1XhdhMd
Young Chasers	Circa Waves	T-Shirt Weather	spotify:track:6v6GhHBy3olC6HWMZexCuE
All I Want Is to Be Your Girl	Holly Miranda	Holly Miranda	spotify:track:3guh1SDKtf0KhA8dIlUY9H
Holy Moly	Matthew E. White	Fresh Blood	spotify:track:4ySqiahk8S7B9ED3qnHcsu
Mene	Brand New	Mene	spotify:track:3FMW2hwvvfixX6sKxEeViI
Will I See You Again	Christian Lopez	Onward	spotify:track:19ByrTpVH5BI3tQRBNPEmT
Demon	Shamir	Ratchet	spotify:track:6kibhu5jODy17eyD2JvAlX
U Got	Sivik	U Got	spotify:track:1EX1HzFmlW4q2iPIK2lvpd
Now And Again	Tor Miller	Headlights	spotify:track:6nw8TQWDjgkP0bMHnVFztW
Strange Eyes	Murder By Death	Big Dark Love	spotify:track:5mhWgUuBIbvQSx3FoFeDIS
Hostiles	Mesita	The Phoenix	spotify:track:1XWBTxVTEGuRPudF7ZShJO
What A Meeting In The Air	The Joyful Sounds	Let Us Sing	spotify:track:2E8BaYX9ObqIWJIPlu2KKA
Can't Hold Me Down	Dive In	Eighteen EP	spotify:track:0rgfnZB9zSh7T4hVnqBtnX
When the Lights Turn Out	Twin Shadow	Eclipse	spotify:track:1wdPwN9fNrSs4V9T7bJyUB
What a Good Woman Does	Joy Williams	What a Good Woman Does	spotify:track:1NnYLKwyk4PjliVayy4OS1
Untouchable	Tritonal, Cash Cash	Untouchable	spotify:track:05dL7chWJaVjMJnGO1YCKk
Are You With Me	Lost Frequencies	Are You With Me	spotify:track:39QlSLkqq5shnpAXchT9sI
Tell Her You Love Her	Echosmith	Talking Dreams (Deluxe Edition)	spotify:track:1vZSnCXJtFGaCOfCWyXn0z
Pacing	Tep No	Pacing	spotify:track:6cWZQNgaL8yLtezJvag9Y9
Margarita	Mas Ysa	Margarita	spotify:track:4gOL6BvsPi6GCUw8QXvQLC
Clean (feat. Jamie Lidell)	Big Data, Jamie Lidell	Clean (feat. Jamie Lidell)	spotify:track:57exrbwAqmn712QGaW1hB1
Any Emotions	Mini Mansions, Brian Wilson	Any Emotions	spotify:track:2PpfkLubbqGfvb8n3Ktc0J
Smile	The Story So Far	The Story So Far	spotify:track:5JygmlX9C0F8ReQ2CWgpfC
If I Have To	Avery Wilson	If I Have To	spotify:track:4DLZpekzmIm1fSO0IPEk3R
Show Me	R.LUM.R	Show Me	spotify:track:6XN4pIKOgaFMpumcs7znEh
It's You - Broiler Remix	Syn Cole, Broiler	It's You (Broiler Remix)	spotify:track:6AOHd0PzHGNo0tBh2olFx1
Deathless Light	Jedi Mind Tricks	Deathless Light - Single	spotify:track:5f1yrHr9xK1LI6vaXSpjQQ
The Last Ones Standing	Tep No	The Last Ones Standing	spotify:track:4X6wMQec2NHdBhEGUwqUFV
On The Wire	Air Traffic Controller	On The Wire	spotify:track:4LqI6VMKsAfvxCpepSiMyQ
I Bet	Ciara	I Bet	spotify:track:6xSsJNkReuJzerqcIlBzBi
Crooked Smile	The Weepies	Crooked Smile	spotify:track:4B0xMMI53Lpd80SOsjDnoj
Heroine	Satellite Stories	Vagabonds	spotify:track:4G8zHuQqPrYfYLIXvNwjuY
Sorry	Meg Myers	Sorry	spotify:track:6Gh5QlTpF9QrJnYuZgj7qh
Kings & Queens (Throw It Up)	SoMo	Chapter 1	spotify:track:2uazC534nj3Ust7umEwc8Z
Till the Sun Burns Out	[SEBELL]	Till the Sun Burns Out	spotify:track:25IcqPUbCUIipmrTcZFRKG
Superhuman - Culture Code Remix	Juventa, Kelly Sweet, Culture Code	Superhuman (Remixes)	spotify:track:4FvBu3qEvpqTf7xrVkZp1B
This Is Gospel	Panic! At The Disco	Too Weird to Live, Too Rare to Die!	spotify:track:3yZQk5PC52CCmT4ZaTIKvv
More Than You'll Ever Know	Nathan Sykes	More Than You’ll Ever Know	spotify:track:5MO98jZE38vzzVfw1uQf6Q
What Went Wrong	JP Cooper	Keep The Quiet Out	spotify:track:6xuqLyh42tE6TRZ8faSJaj
Ashes Like Snow	Lily Kershaw	Midnight In The Garden	spotify:track:3DB6IYiiGWOmiHdlwgSu2f
Believer	American Authors	Oh, What A Life	spotify:track:5rbAi2dXwMLYGCd4O2GJg8
Way Too Long (feat. April Nhem)	Kixxie Siete, April Nhem	Way Too Long (feat. April Nhem)	spotify:track:5uNt2ynvvSzcNEU66NZYww
The Girl	City and Colour	Bring Me Your Love (Special Edition)	spotify:track:3USei2Ja58VV6yOypYNjfN
Made for You	Alexander Cardinale	Made for You	spotify:track:2My44DjmOuTthQ240xk4KJ
Show Me Love	Hundred Waters	The Moon Rang Like a Bell	spotify:track:6wNDcUsWX2cOS2TkohC28a
To Build A Home	The Cinematic Orchestra	Ma Fleur	spotify:track:0xGodKaBnyMDlFtW6h3Kik
Stranger	Jay Hayden, KingVodka	Stranger	spotify:track:75GSFat05fUVklWAPKvVnH
Smile	R5	Sometime Last Night	spotify:track:3Ij3K23D4G2bceNtgxlmLn
Sunday Best	Z.Woods	Songs About You	spotify:track:2Oe10aDvYYswM2fcn3s0v8
Long Long Way	Damien Rice	My Favourite Faded Fantasy	spotify:track:2CYPDOUt0RYHq6MOD4nV5b
Long Way Down	Robert DeLong	Long Way Down	spotify:track:3rDDKOZbYKC80OWo5XTn7B
Kings & Queens	Brooke Fraser	Brutal Romantic	spotify:track:1ltY9yPCPIxBzV91uUQdTE
Worn	A Minor Swoon	Infinite Bright	spotify:track:2edlBm0yRasVg4KCRK0DNI
Wild Ones	Bahari	Wild Ones	spotify:track:6UrF9LIhffllzblKlEVYxm
Until You Find Me	TeamMate	Until You Find Me - Single	spotify:track:1z3IqTcu4fTOGMcRzUtHNL
Rose of Sharon	Title Fight	Rose of Sharon	spotify:track:7agEFwvayzqzSenU1n97D7
Over The River	Luke Bryan	I'll Stay Me	spotify:track:7FJYn36UMaN5FydYgTs935
High Speed	Coldplay	Parachutes	spotify:track:2DHgvPQD1jApRnT1DBZdrS
Find You	Suvi	New Moons, Vol. III	spotify:track:61uGpbjZLXDuCj4b0LtdDa
Waiting For My Moment	Childish Gambino, Jhené Aiko, Vince Staples, Ludwig Goransson	CREED: Original Motion Picture Soundtrack	spotify:track:4yFoV6deeZgoXrCbOW0ubc
Teenage Illusion	Soda Fabric	Teenage Illusion	spotify:track:1vQLzYyl5Fuelj0bIxpe6M
Contradiction (feat. Jhené Aiko)	Mali Music, Jhené Aiko	Contradiction (feat. Jhené Aiko)	spotify:track:5Ourl2AZ0g1FCDKv1oy5SM
Worthy	Jeremih, Jhené Aiko	Late Nights: The Album	spotify:track:1dUszfK4TRd54EegEkOT34
X&Y	Coldplay	X&Y	spotify:track:2rxp56vVQp1zzumJ0eHLmw
Death Valley	Fall Out Boy	Save Rock And Roll	spotify:track:3iJmiaoZWzykf3Hl4IeYtI
Dancing in the Corner	Monarchy	Dancing in the Corner	spotify:track:3zqiLIb4iKXBa6Snb8MRQs
Glass of Water	Coldplay	Prospekt's March	spotify:track:0WxY1PPhJBSfyWSPMgZWuQ
Reflection	Sav Da Moneymaker, Jhené Aiko	Mob Certified	spotify:track:0lLBgkSK7En72rad0S3ZkY
Snowed In (feat. Rivers Cuomo)	Big Data, Rivers Cuomo	Snowed In (feat. Rivers Cuomo)	spotify:track:2Eo5lFZ5QKA6VW6R6HVhfh
Rollin' On	Royal Tongues	Rollin' On	spotify:track:4ueb2HfYouGDZbJnyyFWua
All Eyez On Me (feat. Machine Gun Kelly)	Billard, Machine Gun Kelly	I Am Billard	spotify:track:06xu85GLCn2u0bTFpi8plt
Sick Cycle Carousel	Lifehouse	No Name Face	spotify:track:67OTvR4W0NFEWLrQRL2QGw
She's My Winona	Fall Out Boy	Folie à Deux	spotify:track:6Mk0xtgL6tZ7XQc9GAvobj
Hold Me Tight	Alyssa Bernal, Jason Wade	Love Hangover	spotify:track:0FJgbpDpjArIqXFdP9vQ3n
Pay No Mind (feat. Passion Pit)	Madeon, Passion Pit	Pay No Mind (feat. Passion Pit)	spotify:track:1XT95SWe6U0nZmchAfZh2T
Count for Nothing	Royce Da 5'9"	Street Hop (Deluxe)	spotify:track:0vdLCxZNkU9rk2lIyIpMrw
Fool for Love	Lord Huron	Fool for Love	spotify:track:3g0XVm6ZTWHbtTTfKhmMo7
Glass Heart	MAGIC GIANT	Magic Giant	spotify:track:0nZ83yx5WyttgtZ5pEyxJa
The Moon Song - Live	Karen O	Live from Crush Palace	spotify:track:4NIvhPupMOjeTl0FPhVl3t
The Girl's a Straight-Up Hustler	All Time Low	Put Up or Shut Up (Deluxe Version)	spotify:track:4L7ZKNnrAvSZDfTGsGsDMa
Dinner Time (feat. Busta Rhymes)	Royce Da 5'9", Busta Rhymes	Street Hop (Deluxe)	spotify:track:3KCWLT5t1ifNpY3LCzZWYP
Tiffany Blews	Fall Out Boy	Folie à Deux	spotify:track:0ogvSCswPsKY7MSMaojWk5
The Warriors (feat. Slaughterhouse)	Royce Da 5'9", Slaughterhouse	Street Hop (Deluxe)	spotify:track:3i9IqvkgKGIJGSm0o53BT7
w.a.m.s.	Fall Out Boy	Folie à Deux	spotify:track:5z2LeGnH19PuaOuA2Ksmp6
