Liked Songs	Artists	ID	ExCol
How to Save a Life (Arr. for Guitar)	Joseph King, Isaac Slade, Lucas Silver	Acoustic Guitar Music	5OnI60YB6YvaBPeez5gxLL
down 4 u (feat. T-Pain)	blackbear, T-Pain	cybersex	3wMQczkpe5xftuUqkc8dAu
Compass	Zella Day	Kicker	6o20dsWQsZjhydaq893DnE
Better Than You Are	JAMESDAVIS	Co-Pilot	5j8EV3K9jkWYoyDBbxU41X
No More Bad Days	Bastille	No More Bad Days	3McSdvuko2yY53gfqkwHxM
I Know You (feat. Bastille) - Sultan + Shepard Remix	Craig David, Bastille, Sultan + Shepard	I Know You (Remixes) (feat. Bastille)	56UwCbkvU1p3vHTnlbv3kS
dance (end of the world)	mxmtoon	rising	0w5xdxmW77nlnPGk9ggZhU
Be Sweet	Japanese Breakfast	Jubilee	0dpyzcT3RMNNSd2xKBf35I
Outside	6LACK	6pc Hot EP	2eeZvByHPfohwq9YU3Sj0d
Road 2 Riches (feat. Royce da 59)	Tripl3 Threat, Ca$his, Royce Da 5'9"	Road 2 Riches (feat. Royce da 59)	7CtFXRs4qtzVVXqHVxON6J
So Long, Jimmy - Live in Ireland	James Blunt	Chasing Time: The Bedlam Sessions	0iqo239HFeheYy1pu7UoYZ
Losses	Drake	Dark Lane Demo Tapes	6fLVTVaHWaEfVKfEgbkf4D
I Get Lonely	Drake	Care Package	3sMC6vfTTSa0mMAPTwzDVD
Float	6LACK	6pc Hot EP	5s60G6y9HQFdYyBfwd7Lmr
I'll Never Go	David Archuleta	No Matter How Far	2T9lUMWPtuPLkOxGh3ioEF
Lilith	Halsey	If I Can’t Have Love, I Want Power	5pteD2j5hzE9qeP8BrVT1o
florida	mxmtoon	rising	0XL6rCJFJsPhuCRJQER8ap
Song for You (Live)	Joshua Radin	Joshua Radin Live from the Village (Deluxe)	77FSmI7kD9F7puHLozNOxZ
it's not u it's me	Bea Miller, 6LACK	it's not u it's me	7cLm450e9XaPrEZTSTsfwU
We Cry - Live Mix	The Script	We Cry (Live)	4lG4xLPIqFoxYeZ9rJKW9x
We Cry - Live at Nokia Green Room	The Script	We Cry (Live)	4Imvg7eK2tir79EfZ3qYs3
Vinyl Days (feat. DJ Premier)	Logic, DJ Premier	Vinyl Days	0TDLgD7yn5HGS5Gcj2fp6V
haze	mxmtoon	rising	7zSSSfLbMdIjjVe13q1hsm
dizzy	mxmtoon	rising	1TrrIGvKmAvKk1IXrShrEf
growing pains	mxmtoon	rising	7eXdMfUwoxOPkgnLbnVWhL
learn to love you	mxmtoon	rising	0R2T1MAVt8WbnNZi8Xj3Py
Ungrateful Eyes	Jon Bellion	The Separation	6p9vTtbwiVHMahR5UwNI7k
Glock Six - Bonus	6LACK	FREE 6LACK	390CZK7EvXiI1xCQGhLbNM
Worst Luck	6LACK	FREE 6LACK	4G9rNDqN6vS6AddA8yDHLb
Gettin' Old	6LACK	FREE 6LACK	1msKHRZdGfWab5Po1vZvyY
Shivers - Acoustic Version	Ed Sheeran	Shivers (Acoustic Version)	7BiRw4sgXQMyNx8nPltnQr
