Artist,Number of Songs,Rank
Taylor Swift,245,1
Passenger,218,2
Coldplay,180,3
Drake,162,4
Ed Sheeran,158,5
All Time Low,142,6
OneRepublic,137,7
Kendrick Lamar,134,8
Yellowcard,130,9
Joshua Radin,127,10
Bastille,126,T11
Lupe Fiasco,126,T11
The 1975,109,13
Halsey,108,T14
Logic,108,T14
Ben Rector,105,16
Jasmine Thompson,104,T17
Kanye West,104,T17
Eminem,102,T19
James Blunt,102,T19
Mumford & Sons,99,T21
"Royce Da 5'9""",99,T21
blackbear,98,23
MARINA,93,T24
The Fray,93,T24
Lana Del Rey,92,26
Lifehouse,91,27
Twenty One Pilots,89,28
Joey Bada$$,88,T29
Kodaline,88,T29
Luke Bryan,87,31
Alessia Cara,84,32
J. Cole,82,33
mxmtoon,77,34
Brantley Gilbert,76,35
Phoebe Bridgers,75,T36
The Script,75,T36
Linkin Park,74,38
Kacey Musgraves,72,39
Young the Giant,70,40
Sia,69,41
The Head And The Heart,65,42
Imagine Dragons,63,T43
Vince Staples,63,T43
Fall Out Boy,62,T45
NF,62,T45
Jon Bellion,61,47
Lorde,60,48
Nothing But Thieves,55,49
David Archuleta,53,50
Sam Hunt,51,51
Dave East,49,52
Clairo,48,53
B.o.B,46,54
Handsome Ghost,45,T55
JAY-Z,45,T55
Machine Gun Kelly,44,57
Anderson .Paak,43,T58
Raekwon,43,T58
VÉRITÉ,42,60
Christina Perri,41,61
BANNERS,40,62
6LACK,39,T63
Ariana Grande,39,T63
Big K.R.I.T.,38,T65
Catfish and the Bottlemen,38,T65
The Weeknd,37,67
Jhené Aiko,36,68
Kehlani,34,T69
Lil Wayne,34,T69
Coasts,33,T71
DJ Premier,33,T71
Pusha T,32,73
Kelvin Jones,30,T74
Macklemore,30,T74
Rick Ross,30,T74
Sam Smith,30,T74
Big Sean,29,T78
Cordae,29,T78
Khalid,29,T78
X Ambassadors,29,T78
Florida Georgia Line,28,82
Russ,27,T83
Shawn Mendes,27,T83
Future,26,T85
Nicki Minaj,26,T85
Roberto Cacciapaglia,26,T85
Skylar Grey,26,T85
A R I Z O N A,25,T89
Adele,25,T89
PRhyme,25,T89
ScHoolboy Q,25,T89
Bea Miller,24,T93
Camila Cabello,24,T93
Meechy Darko,24,T93
Ab-Soul,23,T96
Flatbush Zombies,23,T96
G-Eazy,23,T96
Justin Bieber,23,T96
2 Chainz,22,T100
Billie Eilish,22,T100
Ghostface Killah,22,T100
One Direction,22,T100
Rihanna,22,T100
Tate McRae,22,T100
Vance Joy,22,T100
Erick the Architect,21,T107
Finish Ticket,21,T107
Kirk Knight,21,T107
Nas,21,T107
RZA,21,T107
Selena Gomez,21,T107
Travis Scott,21,T107
WALK THE MOON,21,T107
Zedd,21,T107
Hopsin,20,T116
Ryan Lewis,20,T116
A$AP Rocky,19,T118
Avicii,19,T118
Bruno Mars,19,T118
Chance the Rapper,19,T118
VIC MENSA,19,T118
Zombie Juice,19,T118
Cole Swindell,18,T124
Lady Gaga,18,T124
Lil Baby,18,T124
Lil Nas X,18,T124
Original Broadway Cast of Hamilton,18,T124
The Lumineers,18,T124
Tyler The Creator,18,T124
Earl Sweatshirt,17,T131
Killer Mike,17,T131
Lin-Manuel Miranda,17,T131
Nyck Caution,17,T131
Quavo,17,T131
Skyzoo,17,T131
U2,17,T131
Apollo Brown,16,T138
Bryce Vine,16,T138
Childish Gambino,16,T138
John Legend,16,T138
T.I.,16,T138
Yelawolf,16,T138
Common,15,T144
DaBaby,15,T144
El-P,15,T144
Post Malone,15,T144
Run The Jewels,15,T144
Ryan Tedder,15,T144
Sara Bareilles,15,T144
The Chainsmokers,15,T144
Wale,15,T144
21 Savage,14,T153
Breaking Benjamin,14,T153
Demi Lovato,14,T153
Mac Miller,14,T153
Maren Morris,14,T153
Marshmello,14,T153
Method Man,14,T153
Panic! At The Disco,14,T153
Robin Schulz,14,T153
Romeo Santos,14,T153
Wu-Tang Clan,14,T153
Beyoncé,13,T164
Jay Rock,13,T164
KXNG Crooked,13,T164
Ryan Caraveo,13,T164
The Avett Brothers,13,T164
Ty Dolla $ign,13,T164
5 Seconds of Summer,12,T170
A Tribe Called Quest,12,T170
Alex Goot,12,T170
Better Oblivion Community Center,12,T170
Charli XCX,12,T170
Cold War Kids,12,T170
Conor Oberst,12,T170
Green Day,12,T170
Grimes,12,T170
Harry Styles,12,T170
Inspectah Deck,12,T170
Kid Cudi,12,T170
Maroon 5,12,T170
Meek Mill,12,T170
Miguel,12,T170
Mikky Ekko,12,T170
Offset,12,T170
Rapsody,12,T170
The National Parks,12,T170
Train,12,T170
Cardi B,11,T190
David Guetta,11,T190
Dierks Bentley,11,T190
Ellie Goulding,11,T190
Frank Ocean,11,T190
George Ezra,11,T190
James Bay,11,T190
Jay Electronica,11,T190
King Princess,11,T190
Leslie Odom Jr.,11,T190
NEEDTOBREATHE,11,T190
Olivia Rodrigo,11,T190
Sundara Karma,11,T190
A$AP Twelvyy,10,T203
Colbie Caillat,10,T203
DJ Khaled,10,T203
Diplo,10,T203
French Montana,10,T203
Issa Gold,10,T203
Jaden,10,T203
Joell Ortiz,10,T203
Kelly Clarkson,10,T203
Meghan Trainor,10,T203
Miley Cyrus,10,T203
Niall Horan,10,T203
