Queued Songs	Artists	ID	ExCol

Anti-Social Smokers Club (feat. Zoë Kravitz) - From Jxmtro	Rae Sremmurd, Swae Lee, Slim Jxmmi, Zoë Kravitz	SR3MM	spotify:track:4PZl0QLHeqYouwy0iASyNF
Buckets (feat. Future) - From SR3MM	Rae Sremmurd, Swae Lee, Slim Jxmmi, Future	SR3MM	spotify:track:2TtWdYXulGcHCeUJUWwZ4M
Young Dumb & Broke REMIX (feat. Rae Sremmurd & Lil Yachty)	Khalid, Rae Sremmurd, Lil Yachty	Young Dumb & Broke REMIX (feat. Rae Sremmurd & Lil Yachty)	spotify:track:6LxEtvMKSwmPdd5Fh1PCof
Touchscreen Navigation - From Swaecation	Rae Sremmurd, Swae Lee, Slim Jxmmi	SR3MM	spotify:track:20NeQXq8WWCG89ul5nH4BP
T'd Up	Rae Sremmurd	T’d Up	spotify:track:2Bv0MbaqYx2IrQa7Z6xBT0
Chanel (feat. Swae Lee & Pharrell) - From Jxmtro	Rae Sremmurd, Swae Lee, Slim Jxmmi, Pharrell Williams	Chanel (feat. Swae Lee & Pharrell)	spotify:track:5D0YYVfsYxLmcrVAfoBPxR
Christmas At Swae’s	Swae Lee, Rae Sremmurd, Ear Drummers	Christmas At Swae’s	spotify:track:2uIJmDr8yFuq27JgZGAw7l
Just Like Us	Rae Sremmurd	SremmLife 2 (Deluxe)	spotify:track:1A4sbcpfCNyGM88NtGkSqD
Look Alive	Rae Sremmurd	Look Alive	spotify:track:2XhWx5K2hFm1lsKSWa71rg
Look Alive - Remix	Rae Sremmurd, Migos	Look Alive (Remix)	spotify:track:7a9QBLlQOunA6KvPcVDIMt
Love (feat. Rae Sremmurd)	ILOVEMAKONNEN, Rae Sremmurd	Love (feat. Rae Sremmurd)	spotify:track:5rnFOEEIBIWZ6dhHrY6zHh
Nothing For Christmas	Slim Jxmmi, Rae Sremmurd, Ear Drummers	Nothing For Christmas	spotify:track:4sCmcmD9qGOnB1WpqTy5HJ
Over Here	Rae Sremmurd, Bobo Swae	Over Here	spotify:track:6l4LQBSYDK3nggmsBJbXNt
Perplexing Pegasus	Rae Sremmurd	Perplexing Pegasus	spotify:track:2nYwV62UABTH0NanrwVIdQ
Set The Roof	Rae Sremmurd, Lil Jon	SremmLife 2	spotify:track:1ajkQWUpLCfqK9GbgCf9dz
All In My Head (Flex) (feat. Fetty Wap)	Fifth Harmony, Fetty Wap	7/27 (Deluxe)	spotify:track:7nD9nN3jord9wWcfW3Gkcm
That's My Girl - jimmie Club Mix	Fifth Harmony, Jimmie	That's My Girl (Remixes)	spotify:track:4zPzT1S9xqbf5d56GG71n8
I'm In Love With a Monster	Fifth Harmony	I'm In Love With a Monster	spotify:track:0hO71r8vbnrXSaXVrR9ptF
